USING: 
Simple TinyGPS library v. 13
by Mikal Hart

Initializing SD card...initialization failed!
----------------------------------------------------------------------------
Calibrating sensors...
MQ135 R0 for CO2 = 1316
MQ9 R0 for CO = 273
MQ4 R0 for NH4 = 95
-----------------------------------------------------------------------------
S|HD|LAT    |LONG   |DateTime               |Age|MQ4|MQ9|MQ135|CO2_ppm
a|OP
t
s
------------------------------------------------------------------------------
8|146|44.369880|26.152246|12/09/2017 13:35:38 |674|92|269|61|419.73
8|146|44.369880|26.152244|12/09/2017 13:35:40 |681|92|269|60|419.73
8|146|44.369880|26.152244|12/09/2017 13:35:42 |685|93|269|60|419.73
8|146|44.369884|26.152240|12/09/2017 13:35:44 |689|92|269|60|439.63
8|146|44.369884|26.152238|12/09/2017 13:35:46 |692|93|270|61|439.63
8|133|44.369888|26.152229|12/09/2017 13:35:48 |696|92|270|61|439.63
8|133|44.369888|26.152221|12/09/2017 13:35:50 |702|93|269|60|439.63
8|133|44.369888|26.152212|12/09/2017 13:35:52 |707|92|269|60|419.73
8|133|44.369888|26.152204|12/09/2017 13:35:54 |709|93|268|60|419.73
8|133|44.369884|26.152196|12/09/2017 13:35:56 |717|92|268|59|419.73
8|133|44.369884|26.152187|12/09/2017 13:35:58 |716|92|267|60|419.73
8|146|44.369888|26.152179|12/09/2017 13:36:00 |721|92|267|59|419.73
8|133|44.369876|26.152147|12/09/2017 13:36:02 |714|91|267|59|400.42
8|133|44.369876|26.152179|12/09/2017 13:36:04 |717|92|266|59|400.42
8|133|44.369850|26.152210|12/09/2017 13:36:06 |720|92|266|59|419.73
8|133|44.369842|26.152242|12/09/2017 13:36:08 |724|92|266|59|400.42
8|133|44.369838|26.152288|12/09/2017 13:36:10 |728|92|266|59|419.73
8|146|44.369823|26.152338|12/09/2017 13:36:12 |734|91|265|59|400.42
8|146|44.369819|26.152393|12/09/2017 13:36:14 |739|89|265|59|400.42
8|133|44.369808|26.152452|12/09/2017 13:36:16 |743|91|265|59|400.42
8|133|44.369792|26.152502|12/09/2017 13:36:18 |742|91|265|59|400.42
