USING: 
Simple TinyGPS library v. 13
by Mikal Hart

Initializing SD card...initialization failed!
----------------------------------------------------------------------------
Calibrating sensors...
MQ135 R0 for CO2 = 1459
MQ9 R0 for CO = 255
MQ4 R0 for NH4 = 103
-----------------------------------------------------------------------------
S|HD|LAT    |LONG   |DateTime               |Age|MQ4|MQ9|MQ135|CO2_ppm
a|OP
t
s
------------------------------------------------------------------------------
5|400|44.369937|26.152139|11/26/2017 12:05:45 |159|103|255|56|440.54
5|400|44.369926|26.152139|11/26/2017 12:05:47 |119|104|255|56|440.54
5|400|44.369922|26.152139|11/26/2017 12:05:49 |189|103|255|56|440.54
5|401|44.369918|26.152139|11/26/2017 12:05:51 |259|103|255|56|440.54
5|401|44.369911|26.152137|11/26/2017 12:05:53 |297|103|254|56|462.92
5|401|44.369903|26.152133|11/26/2017 12:05:55 |302|103|254|56|440.54
5|401|44.369895|26.152130|11/26/2017 12:05:57 |309|103|254|56|440.54
5|402|44.369918|26.152132|11/26/2017 12:05:59 |313|102|254|56|440.54
5|402|44.369937|26.152133|11/26/2017 12:06:01 |320|103|254|56|440.54
5|402|44.369930|26.152135|11/26/2017 12:06:03 |323|102|254|55|440.54
5|402|44.369915|26.152137|11/26/2017 12:06:05 |330|102|254|56|440.54
5|403|44.369911|26.152135|11/26/2017 12:06:07 |335|102|254|56|440.54
5|403|44.369907|26.152135|11/26/2017 12:06:09 |334|102|253|56|440.54
5|403|44.369903|26.152137|11/26/2017 12:06:11 |341|102|253|55|440.54
5|403|44.369903|26.152141|11/26/2017 12:06:13 |346|102|253|56|440.54
5|404|44.369899|26.152143|11/26/2017 12:06:15 |351|102|253|55|418.87
5|404|44.369899|26.152143|11/26/2017 12:06:17 |358|102|252|55|418.87
5|404|44.369895|26.152143|11/26/2017 12:06:19 |365|102|252|55|418.87
5|405|44.369892|26.152143|11/26/2017 12:06:21 |367|101|252|55|418.87
5|405|44.369892|26.152143|11/26/2017 12:06:23 |374|102|252|55|440.54
5|405|44.369888|26.152143|11/26/2017 12:06:25 |379|102|251|56|418.87
5|405|44.369888|26.152143|11/26/2017 12:06:27 |383|102|252|56|440.54
5|406|44.369888|26.152143|11/26/2017 12:06:29 |387|101|252|56|440.54
5|406|44.369892|26.152141|11/26/2017 12:06:31 |394|102|252|56|440.54
5|406|44.369892|26.152141|11/26/2017 12:06:33 |398|103|253|56|440.54
5|406|44.369895|26.152139|11/26/2017 12:06:35 |405|102|253|56|440.54
5|407|44.369895|26.152139|11/26/2017 12:06:37 |410|102|253|56|462.92
5|407|44.369895|26.152139|11/26/2017 12:06:39 |413|102|254|57|462.92
5|407|44.369899|26.152141|11/26/2017 12:06:41 |422|102|254|57|462.92
5|407|44.369903|26.152141|11/26/2017 12:06:43 |425|101|254|56|462.92
5|408|44.369903|26.152143|11/26/2017 12:06:45 |429|102|254|57|462.92
5|408|44.369899|26.152143|11/26/2017 12:06:47 |435|102|254|57|462.92
5|408|44.369895|26.152141|11/26/2017 12:06:49 |437|101|254|56|462.92
5|408|44.369892|26.152139|11/26/2017 12:06:51 |445|101|254|56|462.92
5|409|44.369888|26.152137|11/26/2017 12:06:53 |451|101|253|57|440.54
5|409|44.369888|26.152135|11/26/2017 12:06:55 |451|101|253|56|462.92
5|409|44.369888|26.152135|11/26/2017 12:06:57 |460|101|253|57|440.54
5|410|44.369888|26.152135|11/26/2017 12:06:59 |467|102|253|57|462.92
5|410|44.369888|26.152135|11/26/2017 12:07:01 |471|101|253|56|440.54
5|410|44.369888|26.152135|11/26/2017 12:07:03 |477|101|253|56|440.54
5|410|44.369884|26.152135|11/26/2017 12:07:05 |482|101|253|56|440.54
5|411|44.369880|26.152139|11/26/2017 12:07:07 |487|101|253|57|440.54
5|411|44.369876|26.152141|11/26/2017 12:07:09 |487|101|253|56|462.92
5|411|44.369880|26.152143|11/26/2017 12:07:11 |497|100|253|57|462.92
5|411|44.369876|26.152143|11/26/2017 12:07:13 |501|101|253|57|462.92
5|412|44.369873|26.152145|11/26/2017 12:07:15 |506|101|252|56|462.92
5|412|44.369873|26.152147|11/26/2017 12:07:17 |512|101|253|57|440.54
5|412|44.369869|26.152149|11/26/2017 12:07:19 |516|101|252|56|440.54
5|412|44.369865|26.152151|11/26/2017 12:07:21 |524|101|252|57|462.92
5|413|44.369861|26.152154|11/26/2017 12:07:23 |528|101|252|56|462.92
5|413|44.369857|26.152156|11/26/2017 12:07:25 |532|100|252|57|440.54
5|413|44.369857|26.152156|11/26/2017 12:07:27 |538|101|252|56|440.54
5|413|44.369850|26.152156|11/26/2017 12:07:29 |544|100|252|56|440.54
5|414|44.369846|26.152158|11/26/2017 12:07:31 |547|100|251|56|440.54
5|414|44.369846|26.152160|11/26/2017 12:07:33 |553|100|251|56|440.54
5|414|44.369846|26.152160|11/26/2017 12:07:35 |559|100|251|57|440.54
