USING: 
Simple TinyGPS library v. 13
by Mikal Hart

Initializing SD card...initialization failed!
----------------------------------------------------------------------------
Calibrating sensors...
MQ135 R0 for CO2 = 721
MQ9 R0 for CO = 333
MQ4 R0 for NH4 = 149
-----------------------------------------------------------------------------
S|HD|LAT    |LONG   |DateTime               |Age|MQ4|MQ9|MQ135|CO2_ppm
a|OP
t
s
------------------------------------------------------------------------------
6|162|44.370002|26.152256|11/11/2017 17:40:48 |817|148|333|106|375.66
5|162|44.370006|26.152284|11/11/2017 17:40:50 |820|148|333|106|385.77
5|162|44.369995|26.152299|11/11/2017 17:40:52 |826|148|333|106|375.66
7|127|44.370002|26.152311|11/11/2017 17:40:54 |828|148|333|106|375.66
7|124|44.370002|26.152324|11/11/2017 17:40:56 |837|148|333|106|375.66
5|162|44.369998|26.152343|11/11/2017 17:40:58 |849|147|333|106|375.66
5|162|44.369998|26.152347|11/11/2017 17:41:00 |851|148|333|106|375.66
6|133|44.369998|26.152368|11/11/2017 17:41:02 |855|148|333|106|375.66
5|162|44.369991|26.152391|11/11/2017 17:41:04 |866|147|333|106|375.66
6|153|44.369991|26.152395|11/11/2017 17:41:06 |871|148|333|106|375.66
5|161|44.369987|26.152406|11/11/2017 17:41:08 |889|148|333|107|385.77
5|161|44.369987|26.152412|11/11/2017 17:41:10 |963|148|333|106|365.73
5|161|44.369991|26.152448|11/11/2017 17:41:13 |136|148|333|105|375.66
6|131|44.369991|26.152462|11/11/2017 17:41:15 |97|147|333|106|375.66
6|131|44.369995|26.152471|11/11/2017 17:41:17 |168|147|333|106|375.66
6|131|44.369995|26.152477|11/11/2017 17:41:19 |233|148|333|105|385.77
7|127|44.369998|26.152452|11/11/2017 17:41:21 |304|148|333|106|365.73
8|117|44.369998|26.152427|11/11/2017 17:41:23 |365|148|333|106|375.66
7|125|44.369998|26.152402|11/11/2017 17:41:25 |371|147|333|106|375.66
7|125|44.369998|26.152395|11/11/2017 17:41:27 |377|148|333|105|375.66
7|125|44.369998|26.152376|11/11/2017 17:41:29 |383|148|333|106|375.66
7|125|44.369998|26.152368|11/11/2017 17:41:31 |389|148|333|106|375.66
8|117|44.369998|26.152353|11/11/2017 17:41:33 |392|148|333|106|375.66
7|125|44.369995|26.152351|11/11/2017 17:41:35 |402|147|333|107|375.66
7|125|44.369995|26.152347|11/11/2017 17:41:37 |408|148|333|106|365.73
7|125|44.369995|26.152351|11/11/2017 17:41:39 |416|148|333|106|385.77
7|125|44.369995|26.152355|11/11/2017 17:41:41 |420|148|332|106|385.77
7|125|44.369998|26.152355|11/11/2017 17:41:43 |427|148|333|106|375.66
7|125|44.369998|26.152351|11/11/2017 17:41:45 |435|148|333|106|385.77
7|125|44.369998|26.152351|11/11/2017 17:41:47 |440|147|333|106|375.66
7|125|44.370002|26.152351|11/11/2017 17:41:49 |443|148|333|106|375.66
7|125|44.370002|26.152355|11/11/2017 17:41:51 |452|148|333|106|385.77
